Frame,X,Y
0,635,752
0,654,814
0,691,865
0,744,907
0,805,937
0,871,947
0,937,940
0,997,913
0,1047,872
0,1082,821
0,1101,761
0,789,775
0,824,764
0,856,756
0,877,763
0,900,759
0,934,770
0,970,783
0,933,801
0,899,805
0,874,806
0,853,803
0,822,795
0,805,778
0,856,779
0,876,782
0,900,781
0,955,784
0,899,781
0,876,782
0,855,778
0,835,691
0,857,699
0,879,706
0,900,702
0,921,697
1,634,753
1,655,815
1,694,867
1,750,908
1,812,936
1,877,943
1,942,936
1,1000,906
1,1048,864
1,1081,814
1,1100,754
1,786,774
1,823,764
1,857,756
1,878,762
1,901,758
1,935,770
1,970,782
1,934,800
1,901,805
1,877,805
1,854,803
1,822,795
1,801,778
1,856,779
1,877,782
1,901,780
1,955,783
1,901,780
1,877,781
1,856,777
1,835,691
1,857,697
1,880,704
1,900,699
1,921,696
2,635,749
2,651,810
2,687,863
2,741,905
2,804,933
2,874,942
2,942,936
2,1002,908
2,1051,866
2,1084,813
2,1100,753
2,787,774
2,824,763
2,857,756
2,878,762
2,902,758
2,935,769
2,971,782
2,935,799
2,902,802
2,877,802
2,855,800
2,822,794
2,803,777
2,856,778
2,877,781
2,901,780
2,956,782
2,902,777
2,878,777
2,857,774
2,834,690
2,857,697
2,879,703
2,901,699
2,923,695
3,633,747
3,652,807
3,689,860
3,742,902
3,804,933
3,873,944
3,942,938
3,1002,908
3,1052,866
3,1085,813
3,1102,753
3,789,775
3,825,764
3,857,756
3,878,762
3,901,758
3,936,771
3,971,784
3,935,801
3,901,805
3,876,805
3,854,803
3,824,795
3,805,778
3,856,778
3,877,782
3,901,781
3,957,785
3,901,780
3,877,780
3,856,776
3,835,691
3,858,698
3,879,704
3,900,700
3,920,696
4,637,753
4,655,815
4,691,867
4,745,910
4,807,939
4,876,947
4,945,938
4,1005,909
4,1053,867
4,1084,815
4,1101,756
4,789,775
4,825,764
4,857,757
4,878,764
4,901,759
4,934,770
4,967,784
4,932,801
4,900,804
4,875,804
4,853,802
4,823,796
4,804,778
4,856,779
4,877,782
4,901,781
4,952,785
4,900,777
4,877,779
4,855,775
4,835,690
4,858,698
4,880,705
4,901,700
4,922,695
5,635,755
5,656,817
5,694,869
5,749,911
5,811,941
5,877,949
5,943,942
5,1002,912
5,1051,869
5,1084,817
5,1102,757
5,790,777
5,824,764
5,857,756
5,877,763
5,900,759
5,934,771
5,966,785
5,932,803
5,900,809
5,877,809
5,855,807
5,822,798
5,806,779
5,856,780
5,877,783
5,900,782
5,950,786
5,900,782
5,877,783
5,856,779
5,834,690
5,857,698
5,880,705
5,901,700
5,923,696
6,633,750
6,653,812
6,691,866
6,744,910
6,805,944
6,874,954
6,944,948
6,1003,914
6,1051,868
6,1084,814
6,1101,754
6,787,777
6,821,765
6,854,757
6,877,764
6,899,760
6,931,772
6,965,788
6,931,807
6,899,812
6,876,812
6,852,809
6,820,799
6,803,780
6,853,781
6,877,784
6,899,784
6,950,789
6,900,785
6,877,785
6,854,781
6,836,691
6,858,699
6,880,706
6,901,701
6,922,696
7,634,750
7,652,812
7,688,866
7,740,913
7,802,949
7,873,961
7,943,955
7,1003,919
7,1052,872
7,1084,816
7,1102,755
7,789,780
7,824,767
7,856,759
7,879,766
7,901,762
7,933,774
7,966,792
7,933,812
7,900,818
7,877,818
7,853,814
7,822,804
7,805,784
7,855,784
7,878,788
7,900,788
7,951,792
7,900,789
7,879,789
7,856,784
7,836,690
7,857,697
7,880,705
7,902,699
7,924,694
8,637,753
8,656,816
8,692,872
8,744,918
8,805,952
8,874,965
8,942,957
8,1003,922
8,1052,873
8,1085,817
8,1102,756
8,792,783
8,825,767
8,856,757
8,878,764
8,898,759
8,929,773
8,962,792
8,930,813
8,899,819
8,877,819
8,854,816
8,824,805
8,808,785
8,855,782
8,877,785
8,898,785
8,946,793
8,899,789
8,878,789
8,856,784
8,836,689
8,857,697
8,880,705
8,901,699
8,923,693
9,636,748
9,655,812
9,690,868
9,742,917
9,802,955
9,872,968
9,941,961
9,1000,925
9,1049,876
9,1083,820
9,1102,758
9,794,783
9,825,766
9,856,756
9,877,763
9,898,759
9,928,773
9,959,795
9,927,817
9,898,824
9,876,823
9,853,820
9,824,808
9,812,786
9,855,782
9,877,784
9,897,785
9,943,795
9,897,789
9,877,789
9,855,785
9,836,689
9,857,697
9,879,706
9,900,700
9,921,694
10,637,752
10,658,815
10,693,870
10,743,918
10,802,955
10,870,968
10,937,961
10,997,926
10,1046,878
10,1080,823
10,1099,762
10,793,783
10,822,764
10,854,755
10,877,761
10,898,757
10,929,771
10,959,794
10,929,818
10,898,827
10,876,827
10,851,823
10,821,810
10,811,786
10,853,781
10,876,783
10,897,784
10,943,794
10,898,791
10,877,791
10,854,787
10,834,687
10,856,695
10,879,703
10,901,697
10,923,691
11,636,754
11,657,817
11,693,871
11,745,919
11,805,956
11,872,968
11,938,961
11,996,925
11,1046,877
11,1081,822
11,1100,760
11,793,784
11,823,766
11,856,755
11,877,762
11,896,757
11,926,772
11,956,794
11,926,820
11,897,829
11,875,829
11,852,825
11,822,814
11,810,788
11,854,782
11,876,785
11,896,784
11,939,795
11,896,793
11,877,794
11,855,790
11,835,687
11,857,695
11,879,702
11,901,698
11,923,692
12,635,747
12,655,813
12,692,870
12,745,920
12,808,957
12,876,968
12,942,959
12,1002,922
12,1052,871
12,1085,815
12,1103,752
12,794,785
12,823,766
12,854,755
12,876,762
12,895,758
12,927,773
12,956,796
12,927,822
12,896,831
12,875,831
12,852,827
12,822,814
12,811,788
12,854,782
12,875,785
12,894,785
12,939,796
12,896,795
12,876,796
12,855,791
12,835,688
12,856,696
12,879,703
12,900,698
12,921,692
13,634,750
13,654,815
13,690,871
13,743,921
13,804,958
13,872,970
13,939,962
13,998,926
13,1048,877
13,1082,822
13,1101,760
13,791,785
13,822,766
13,855,755
13,877,761
13,899,757
13,929,772
13,957,796
13,928,821
13,898,831
13,875,831
13,851,827
13,820,814
13,808,788
13,854,780
13,876,784
13,898,783
13,941,796
13,899,796
13,877,797
13,854,792
13,835,687
13,857,695
13,879,702
13,901,697
13,922,691
14,636,750
14,657,815
14,694,872
14,746,920
14,808,955
14,875,966
14,943,956
14,1001,920
14,1050,872
14,1082,816
14,1100,754
14,794,785
14,822,765
14,853,754
14,876,761
14,896,756
14,926,772
14,956,797
14,926,821
14,897,830
14,875,830
14,851,826
14,821,814
14,809,787
14,852,780
14,875,783
14,895,782
14,940,797
14,897,797
14,876,797
14,853,793
14,835,689
14,856,696
14,879,702
14,900,698
14,922,692
15,633,749
15,653,813
15,691,867
15,743,916
15,804,953
15,870,965
15,935,957
15,993,921
15,1043,874
15,1079,820
15,1099,758
15,791,783
15,823,765
15,855,753
15,876,761
15,896,756
15,926,772
15,957,795
15,926,819
15,896,828
15,875,828
15,851,824
15,822,812
15,810,786
15,854,780
15,876,783
15,895,783
15,939,795
15,896,792
15,876,792
15,854,788
15,835,688
15,857,696
15,879,703
15,900,699
15,921,693
16,636,751
16,656,813
16,693,868
16,744,916
16,805,953
16,872,964
16,940,954
16,999,918
16,1049,871
16,1083,815
16,1101,754
16,793,782
16,824,763
16,855,752
16,876,759
16,896,755
16,927,770
16,955,793
16,926,817
16,895,826
16,874,826
16,851,822
16,822,810
16,809,785
16,854,778
16,876,781
16,895,780
16,939,793
16,895,793
16,875,793
16,854,789
16,837,686
16,858,693
16,880,700
16,900,696
16,921,691
17,637,749
17,657,812
17,693,867
17,744,915
17,803,951
17,871,964
17,939,956
17,998,922
17,1047,873
17,1080,818
17,1099,757
17,794,781
17,824,763
17,854,752
17,876,760
17,896,755
17,925,771
17,956,793
17,925,818
17,896,827
17,874,827
17,852,824
17,823,811
17,811,785
17,854,777
17,875,779
17,895,779
17,939,793
17,896,795
17,875,795
17,854,791
17,835,686
17,856,694
17,879,701
17,900,696
17,921,690
18,637,749
18,658,813
18,694,868
18,746,916
18,804,952
18,870,965
18,936,957
18,996,922
18,1046,874
18,1081,819
18,1101,757
18,791,784
18,823,765
18,855,754
18,876,761
18,895,757
18,925,773
18,956,795
18,925,817
18,895,824
18,874,824
18,852,821
18,821,809
18,807,786
18,854,779
18,875,781
18,895,781
18,940,794
18,895,793
18,875,793
18,854,789
18,835,688
18,857,695
18,880,702
18,901,698
18,922,693
19,637,746
19,657,811
19,694,865
19,747,912
19,806,948
19,874,961
19,942,952
19,1002,915
19,1053,868
19,1085,811
19,1104,749
19,794,782
19,825,764
19,856,754
19,877,760
19,897,756
19,929,771
19,959,793
19,929,817
19,899,826
19,877,825
19,854,821
19,824,809
19,811,784
19,855,779
19,877,782
19,897,782
19,944,793
19,898,794
19,877,794
19,856,790
19,835,687
19,856,695
19,879,702
19,901,697
19,923,691
20,638,749
20,660,812
20,696,866
20,749,912
20,807,947
20,872,960
20,938,952
20,998,919
20,1049,872
20,1083,817
20,1102,754
20,790,781
20,824,763
20,856,753
20,878,760
20,900,755
20,929,770
20,959,792
20,928,815
20,898,823
20,875,824
20,852,819
20,822,808
20,807,784
20,855,778
20,877,781
20,899,781
20,942,792
20,899,793
20,877,794
20,854,789
20,835,684
20,857,692
20,880,700
20,903,695
20,925,688
21,638,748
21,659,812
21,697,866
21,750,913
21,809,949
21,875,960
21,940,952
21,998,917
21,1048,870
21,1081,815
21,1100,755
21,795,781
21,824,764
21,855,753
21,877,760
21,896,756
21,926,770
21,956,791
21,927,814
21,898,823
21,876,823
21,853,819
21,824,808
21,813,784
21,854,778
21,876,781
21,896,780
21,939,792
21,897,792
21,877,793
21,855,789
21,835,684
21,857,692
21,879,699
21,901,694
21,923,688
22,638,749
22,659,811
22,696,864
22,747,911
22,806,947
22,870,960
22,935,953
22,994,920
22,1045,873
22,1080,820
22,1101,760
22,793,779
22,824,762
22,855,752
22,877,759
22,898,755
22,930,770
22,962,790
22,929,813
22,898,820
22,875,820
22,852,817
22,823,806
22,810,782
22,854,777
22,876,780
22,897,780
22,945,790
22,898,791
22,877,791
22,854,786
22,834,685
22,856,693
22,879,701
22,901,696
22,924,690
23,639,745
23,660,808
23,699,862
23,752,907
23,811,943
23,875,957
23,939,949
23,998,912
23,1050,865
23,1085,811
23,1105,750
23,795,778
23,825,762
23,856,751
23,878,758
23,898,754
23,929,769
23,961,790
23,928,813
23,897,822
23,875,821
23,853,817
23,823,805
23,812,781
23,855,776
23,877,779
23,897,779
23,944,789
23,897,791
23,876,791
23,855,787
23,836,683
23,857,692
23,880,699
23,901,694
23,923,688
24,637,748
24,658,811
24,696,865
24,748,910
24,808,944
24,873,957
24,937,949
24,997,914
24,1047,868
24,1082,815
24,1102,754
24,793,779
24,825,763
24,856,751
24,877,759
24,896,754
24,926,770
24,957,791
24,925,812
24,896,819
24,875,818
24,853,815
24,823,804
24,810,782
24,855,777
24,877,780
24,896,779
24,940,790
24,896,789
24,876,790
24,855,786
24,835,684
24,857,692
24,879,699
24,901,694
24,923,688
25,639,744
25,659,807
25,694,862
25,745,908
25,804,943
25,869,957
25,935,951
25,994,918
25,1045,873
