Frame,X,Y
0,641,741
0,661,803
0,698,854
0,751,894
0,815,922
0,884,929
0,951,923
0,1011,896
0,1060,856
0,1091,805
0,1107,747
0,796,760
0,831,745
0,864,736
0,887,742
0,909,738
0,940,751
0,975,771
0,941,785
0,909,788
0,886,788
0,862,786
0,829,779
0,811,762
0,863,760
0,886,763
0,908,762
0,960,771
0,909,762
0,887,762
0,864,759
0,846,669
0,868,676
0,890,684
0,911,679
0,933,674
1,641,741
1,659,804
1,695,855
1,748,897
1,812,925
1,882,931
1,951,925
1,1012,896
1,1062,854
1,1093,800
1,1108,741
1,797,760
1,832,745
1,865,735
1,887,742
1,909,738
1,941,751
1,974,771
1,941,786
1,908,789
1,885,789
1,862,786
1,830,780
1,811,763
1,864,760
1,886,763
1,908,762
1,961,771
1,908,763
1,886,763
1,864,760
1,846,670
1,868,678
1,890,684
1,911,680
1,931,676
2,640,741
2,659,802
2,696,853
2,749,892
2,813,921
2,884,929
2,953,923
2,1015,895
2,1063,853
2,1093,800
2,1109,740
2,798,759
2,833,743
2,866,735
2,889,741
2,910,737
2,943,751
2,978,771
2,942,786
2,910,788
2,887,787
2,863,784
2,832,778
2,813,762
2,864,760
2,888,763
2,910,763
2,964,771
2,910,761
2,888,761
2,865,757
2,845,669
2,868,677
2,890,685
2,912,680
2,933,676
3,641,744
3,660,805
3,696,854
3,749,893
3,811,921
3,880,931
3,947,927
3,1008,900
3,1058,861
3,1091,810
3,1107,752
3,798,761
3,832,744
3,864,735
3,888,742
3,910,738
3,940,751
3,973,772
3,939,786
3,908,788
3,885,787
3,860,784
3,830,779
3,813,763
3,863,759
3,886,763
3,909,763
3,958,772
3,909,762
3,887,761
3,863,758
3,845,669
3,867,677
3,889,685
3,911,680
3,933,675
4,639,741
4,659,803
4,696,854
4,748,895
4,812,924
4,883,933
4,952,929
4,1013,902
4,1061,860
4,1092,806
4,1108,747
4,796,761
4,832,745
4,865,736
4,888,742
4,909,738
4,941,751
4,974,773
4,940,787
4,909,788
4,886,787
4,862,785
4,830,779
4,812,763
4,864,761
4,887,764
4,908,764
4,959,772
4,909,763
4,887,763
4,864,759
4,844,670
4,866,677
4,890,684
4,911,680
4,934,676
5,640,740
5,659,802
5,696,854
5,749,895
5,813,923
5,881,932
5,949,928
5,1010,900
5,1060,859
5,1092,806
5,1109,746
5,798,761
5,833,746
5,865,735
5,887,743
5,909,738
5,940,753
5,975,774
5,940,789
5,908,791
5,885,790
5,861,787
5,831,780
5,814,763
5,863,760
5,886,764
5,908,764
5,961,773
5,908,765
