Frame,X,Y
0,634,751
0,656,811
0,695,860
0,750,898
0,813,924
0,881,929
0,948,925
0,1007,898
0,1054,856
0,1083,804
0,1098,746
0,797,756
0,832,737
0,864,725
0,886,732
0,907,728
0,937,744
0,969,766
0,936,779
0,906,780
0,884,780
0,861,777
0,830,771
0,813,757
0,863,751
0,885,755
0,907,754
0,954,765
0,906,752
0,885,752
0,863,749
0,842,667
0,864,674
0,886,678
0,906,676
0,927,673
1,635,750
1,656,809
1,696,858
1,753,896
1,818,922
1,885,929
1,951,923
1,1009,894
1,1055,853
1,1085,802
1,1101,744
1,798,755
1,831,737
1,863,727
1,886,733
1,907,729
1,938,743
1,971,763
1,938,778
1,908,780
1,885,780
1,862,777
1,830,771
1,813,756
1,862,753
1,885,756
1,907,756
1,956,763
1,908,753
1,886,753
1,863,750
1,843,664
1,865,671
1,888,677
1,908,674
1,928,669
2,635,744
2,656,804
2,694,854
2,748,892
2,810,920
2,878,927
2,947,924
2,1009,896
2,1057,855
2,1087,802
2,1103,741
2,798,754
2,830,735
2,863,725
2,885,732
2,907,728
2,938,742
2,972,765
2,938,780
2,906,782
2,883,782
2,860,779
2,828,772
2,813,756
2,862,752
2,884,755
2,906,755
2,958,764
2,906,754
2,884,754
2,862,750
2,843,664
2,864,671
2,887,677
2,908,674
2,928,670
3,635,743
3,657,804
3,696,854
3,751,893
3,814,921
3,882,930
3,949,923
3,1009,895
3,1056,855
3,1086,803
3,1102,745
3,794,754
3,831,736
3,864,726
3,886,732
3,906,729
3,937,744
3,971,767
3,936,781
3,905,783
3,884,783
3,860,780
3,829,772
3,811,756
3,862,752
3,885,755
3,905,755
3,956,766
3,905,754
3,885,754
3,863,751
3,844,664
3,865,671
3,888,677
3,909,674
3,930,670
4,634,742
4,652,802
4,689,853
4,745,892
4,811,918
4,881,927
4,949,922
4,1009,895
4,1057,855
4,1086,802
4,1101,743
4,793,753
4,830,736
4,864,726
4,887,732
4,909,728
4,941,743
4,976,764
4,942,782
4,909,783
4,886,782
4,862,780
4,829,773
4,810,756
4,862,752
4,886,755
4,908,755
4,962,765
4,909,755
4,887,755
4,864,752
4,843,664
4,865,671
4,888,678
4,909,674
4,930,670
5,634,744
5,656,804
5,695,853
5,750,892
5,813,921
5,881,931
5,949,925
5,1007,892
5,1052,849
5,1081,796
5,1097,737
5,798,755
5,831,736
5,864,726
5,887,733
5,909,729
5,941,744
5,974,768
5,941,783
5,908,787
5,885,786
5,862,783
5,830,774
5,814,757
5,863,754
5,886,757
5,908,757
5,959,766
5,908,757
5,886,757
5,864,753
5,845,667
5,867,673
5,889,679
5,909,676
5,928,673
6,636,753
6,658,814
6,696,864
6,750,902
6,814,928
6,883,935
6,949,928
6,1008,899
6,1055,858
6,1084,808
6,1099,749
6,799,757
6,831,738
6,863,727
6,886,734
6,907,729
6,938,744
6,971,769
6,937,783
6,906,786
6,884,786
6,860,783
6,829,774
6,815,759
6,862,754
6,885,757
6,906,757
6,955,768
6,906,757
6,885,757
6,862,753
6,842,665
6,864,672
6,887,677
6,908,675
6,930,672
7,634,746
7,655,805
7,694,855
7,749,894
7,813,921
7,883,929
7,952,924
7,1012,896
7,1059,853
7,1088,800
7,1103,741
7,797,757
7,832,739
7,865,729
7,888,735
7,908,732
7,941,746
7,975,769
7,940,784
7,907,787
7,885,786
7,862,783
7,830,776
7,813,759
7,864,756
7,886,759
7,907,760
7,960,768
7,908,759
7,887,758
7,864,754
7,844,664
7,866,670
7,889,677
7,911,674
7,932,670
8,638,750
8,660,811
8,698,861
8,752,900
8,816,925
8,884,931
8,950,925
8,1010,897
8,1056,856
8,1086,803
8,1101,744
8,800,757
8,834,739
8,866,728
8,888,734
8,908,730
8,938,745
8,970,767
8,938,783
8,908,786
8,886,786
8,864,783
8,832,776
8,817,759
8,865,755
8,887,758
8,908,758
8,955,767
8,908,757
8,887,757
8,866,754
8,845,664
8,867,671
8,890,677
8,911,673
8,932,669
9,635,749
9,657,807
9,697,855
9,752,892
9,815,921
9,883,930
9,951,925
9,1011,896
9,1058,853
9,1087,800
9,1103,740
9,797,757
9,831,738
9,864,728
9,887,735
9,908,731
9,940,746
9,973,769
9,940,783
9,909,785
9,886,784
9,862,782
9,830,775
9,813,758
9,863,755
9,886,758
9,908,758
9,957,767
9,908,756
9,887,756
9,864,753
9,845,666
9,867,673
9,889,678
9,909,676
9,929,672
10,635,745
10,654,806
10,692,856
10,747,895
10,810,923
10,878,932
10,944,927
10,1005,898
10,1055,857
10,1087,804
10,1102,744
10,797,758
10,831,739
10,865,728
10,888,734
10,909,731
10,940,745
10,971,769
10,939,783
10,909,786
10,886,785
10,862,783
10,830,775
10,813,759
10,863,755
10,887,758
10,909,758
10,956,768
10,909,757
10,887,757
10,864,754
10,846,665
10,868,671
10,890,677
10,911,673
10,931,669
11,635,747
11,657,807
11,698,856
11,754,895
11,817,923
11,886,931
11,952,924
11,1010,893
11,1057,851
11,1085,799
11,1102,741
11,797,757
11,830,738
11,864,728
11,886,734
11,908,731
11,939,746
11,971,769
11,939,784
11,908,787
11,885,786
11,862,784
11,829,775
11,813,759
