Frame,X,Y
0,784,714
0,799,770
0,828,819
0,876,859
0,933,891
0,999,902
0,1066,891
0,1130,863
0,1192,833
0,1236,794
0,1265,740
0,913,731
0,939,692
0,972,673
0,995,676
0,1016,672
0,1055,688
0,1098,724
0,1058,746
0,1021,756
0,997,759
0,973,759
0,942,753
0,930,726
0,973,699
0,995,698
0,1017,696
0,1078,721
0,1019,730
0,996,733
0,973,732
0,950,627
0,970,635
0,993,640
0,1018,631
0,1042,622
1,788,734
1,809,789
1,842,835
1,890,870
1,946,897
1,1008,904
1,1072,890
1,1132,863
1,1188,830
1,1228,787
1,1253,734
1,912,732
1,940,692
1,973,671
1,996,674
1,1018,670
1,1055,688
1,1094,726
1,1056,749
1,1021,759
1,998,762
1,973,762
1,942,754
1,928,727
1,974,700
1,996,699
1,1019,698
1,1076,723
1,1020,729
1,997,732
1,974,732
1,952,628
1,972,635
1,994,641
1,1018,632
1,1043,624
2,788,725
2,807,781
2,839,830
2,887,866
2,943,896
2,1006,904
2,1069,890
2,1130,860
2,1186,828
2,1228,785
2,1256,730
2,913,733
2,940,691
2,971,671
2,993,673
2,1014,669
2,1053,686
2,1092,724
2,1055,749
2,1019,760
2,996,763
2,974,763
2,943,755
2,930,728
2,973,702
2,994,699
2,1015,698
2,1073,721
2,1018,729
2,996,731
2,974,732
2,950,631
2,969,638
2,992,642
2,1016,634
2,1041,626
3,788,723
3,804,779
3,833,828
3,881,865
3,936,893
3,1000,901
3,1067,889
3,1129,863
3,1188,832
3,1231,791
3,1257,737
3,911,730
3,938,692
3,972,671
3,993,676
3,1015,670
3,1054,687
3,1095,725
3,1056,748
3,1020,759
3,997,762
3,973,762
3,941,754
3,926,725
3,973,700
3,994,699
3,1017,698
3,1076,722
3,1018,728
3,996,731
3,973,730
3,952,626
3,971,633
3,993,639
3,1017,631
3,1043,622
4,789,727
4,809,783
4,841,831
4,889,868
4,945,896
4,1011,902
4,1076,889
4,1135,858
4,1189,823
4,1225,777
4,1249,724
4,915,732
4,942,692
4,973,673
4,997,677
4,1020,671
4,1057,688
4,1095,725
4,1058,750
4,1024,760
4,1000,762
4,975,762
4,944,756
4,931,729
4,975,701
4,997,700
4,1021,699
4,1075,723
4,1023,731
4,999,733
4,975,733
4,953,630
4,972,637
4,993,642
4,1016,633
4,1040,624
5,787,723
5,805,779
5,835,828
5,884,866
5,942,896
5,1008,903
5,1074,890
5,1136,860
5,1193,826
5,1235,783
5,1262,729
5,913,732
5,937,694
5,970,673
5,993,677
5,1017,671
5,1055,688
5,1095,725
5,1058,747
5,1021,757
5,997,760
5,972,760
5,941,753
5,928,728
5,972,701
5,995,699
5,1018,698
5,1076,723
5,1019,729
5,995,733
5,972,732
5,951,628
5,970,635
5,991,641
5,1015,631
5,1041,623
6,789,733
6,810,789
6,841,835
6,889,871
6,947,898
6,1011,903
6,1076,889
6,1135,858
6,1187,824
6,1225,780
6,1248,725
6,911,736
6,935,693
6,968,670
6,993,674
6,1015,668
6,1054,687
6,1093,726
6,1056,751
6,1021,762
6,997,765
6,972,765
6,939,759
6,928,731
6,971,701
6,994,700
6,1016,699
6,1074,724
6,1018,730
6,995,733
6,971,733
6,947,629
6,966,636
6,990,641
6,1013,632
6,1037,624
7,791,731
7,811,786
7,845,833
7,895,870
7,951,896
7,1014,902
7,1080,889
7,1140,860
7,1197,826
7,1236,782
7,1259,726
7,913,735
7,940,693
7,973,672
7,995,676
7,1019,670
7,1058,688
7,1098,725
7,1062,750
7,1026,760
7,1001,762
7,977,763
7,944,758
7,930,731
7,975,702
7,997,700
7,1020,700
7,1079,724
7,1023,730
7,999,732
7,976,732
7,953,629
7,973,635
7,995,640
7,1017,632
7,1040,624
8,790,729
8,809,785
8,841,833
8,889,869
8,946,898
8,1009,904
8,1073,890
8,1131,860
8,1187,826
8,1226,783
8,1251,729
8,913,737
8,937,692
8,969,669
8,992,673
8,1014,667
8,1053,687
8,1091,727
8,1056,755
8,1021,766
8,997,769
8,972,770
8,941,762
8,930,732
8,971,702
8,993,700
8,1016,699
8,1072,725
8,1018,732
8,995,734
8,972,734
8,951,630
8,970,636
8,992,641
8,1015,633
8,1040,625
9,792,732
9,810,788
9,842,833
9,889,869
9,944,898
9,1007,906
9,1072,893
9,1132,864
9,1186,831
9,1226,787
9,1250,733
9,909,735
9,933,693
9,967,671
9,990,674
9,1013,669
9,1053,687
9,1095,726
9,1057,753
9,1019,763
9,995,766
9,969,766
9,936,759
9,926,731
9,968,703
9,992,701
9,1015,700
9,1076,725
9,1016,730
9,993,732
9,969,732
9,948,629
9,967,636
9,990,641
9,1014,632
9,1039,623
10,790,735
10,810,791
10,842,835
10,890,873
10,945,901
10,1007,909
10,1071,896
10,1131,867
10,1185,834
10,1224,792
10,1247,737
10,906,734
10,931,690
10,966,669
10,992,674
10,1018,669
10,1059,688
10,1100,727
10,1062,758
10,1022,768
10,994,771
10,966,770
10,932,762
10,922,731
10,967,700
10,993,700
10,1019,700
10,1082,725
10,1021,734
10,993,736
10,967,735
10,945,630
10,967,637
10,991,642
10,1016,633
10,1042,625
11,789,734
11,808,790
11,839,835
11,886,873
11,941,905
11,1004,915
11,1068,903
11,1128,872
11,1184,837
11,1226,794
11,1254,740
11,901,732
11,928,690
11,966,669
11,992,672
11,1018,668
11,1062,686
11,1106,725
11,1065,765
11,1023,780
11,995,783
11,967,781
11,930,770
11,917,730
11,967,700
11,992,699
11,1018,699
11,1087,725
11,1021,745
11,994,747
11,968,746
11,947,629
11,966,636
11,990,642
11,1015,634
11,1041,627
12,790,733
12,808,788
12,838,837
12,884,876
12,938,907
12,1000,919
12,1066,906
12,1127,877
12,1182,841
12,1223,797
12,1252,742
12,900,733
12,927,689
12,965,669
12,992,673
12,1020,669
12,1064,686
12,1107,724
12,1067,764
12,1025,777
12,995,780
12,965,778
12,928,767
12,916,730
12,966,701
12,992,700
12,1021,701
12,1090,724
12,1024,744
12,994,746
12,967,745
12,949,629
12,969,636
12,992,643
12,1017,634
12,1042,627
13,792,723
13,810,780
13,840,831
13,886,874
13,939,908
13,1003,922
13,1070,907
13,1129,875
13,1187,840
13,1229,794
13,1257,738
13,898,730
13,924,690
13,961,672
13,990,675
13,1019,671
13,1066,688
13,1112,723
13,1070,773
13,1025,788
13,994,791
13,962,788
13,925,774
13,913,729
13,963,700
13,991,699
13,1020,698
13,1095,725
13,1023,757
13,993,759
13,963,757
13,943,628
13,962,637
13,986,645
13,1012,635
13,1040,627
14,787,731
14,806,785
14,836,832
14,882,870
14,937,903
14,1001,915
14,1068,904
14,1127,875
14,1181,840
14,1221,794
14,1248,739
14,898,729
14,926,689
14,963,669
14,992,674
14,1020,669
14,1066,687
14,1110,726
14,1071,767
14,1028,778
14,996,781
14,966,779
14,928,767
14,914,729
14,965,700
14,993,700
14,1022,699
14,1093,726
14,1026,746
14,995,747
14,966,745
14,946,628
14,965,636
14,988,643
14,1013,635
14,1038,627
15,790,742
15,809,795
15,840,839
15,884,876
15,938,909
15,1001,921
15,1067,907
15,1127,877
15,1180,842
15,1218,797
15,1240,743
15,894,729
15,923,690
15,963,673
15,992,676
15,1021,673
15,1066,689
15,1108,727
15,1070,771
15,1024,784
15,993,787
15,962,785
15,922,770
15,910,728
15,963,700
15,992,701
15,1021,700
15,1092,727
15,1024,754
15,993,757
15,962,753
15,944,629
15,965,636
15,988,644
15,1014,633
15,1041,626
16,784,737
16,806,793
16,839,839
16,889,878
16,943,912
16,1006,922
16,1071,907
16,1130,873
16,1185,833
16,1225,786
16,1249,729
16,899,732
16,926,689
16,965,671
16,995,675
16,1024,671
16,1070,687
16,1112,724
16,1074,773
16,1029,790
16,997,793
16,966,791
16,927,775
16,915,730
16,966,699
16,995,699
16,1025,698
16,1095,725
16,1027,758
16,996,760
16,966,758
16,945,629
16,965,636
16,989,643
16,1015,633
16,1042,625
17,792,740
17,811,794
17,843,840
17,890,878
17,944,909
17,1007,920
17,1074,907
17,1137,876
17,1195,842
17,1239,797
17,1269,742
17,901,734
17,925,688
17,960,669
17,989,672
17,1018,668
17,1063,687
17,1106,729
17,1067,766
17,1025,778
17,994,781
17,963,779
17,928,768
17,916,730
17,962,700
17,990,699
17,1019,699
17,1087,727
17,1022,740
17,992,742
17,963,741
17,945,629
17,964,635
17,987,641
17,1012,632
17,1037,626
18,788,742
18,809,796
18,844,841
18,891,879
18,944,911
18,1008,921
18,1074,906
18,1133,872
18,1185,834
18,1223,785
18,1244,728
18,900,733
18,927,689
18,966,667
18,996,672
18,1024,668
18,1068,686
18,1106,727
18,1072,773
18,1029,790
18,998,793
18,967,791
18,928,777
18,915,730
18,968,698
18,996,699
18,1025,698
18,1089,726
18,1028,756
18,997,759
18,967,757
18,949,629
18,969,635
18,993,640
18,1018,631
18,1044,624
19,790,733
19,811,790
19,844,838
19,890,876
19,945,908
19,1008,918
19,1073,903
19,1131,871
19,1183,833
19,1220,785
19,1241,728
19,896,730
19,925,685
19,966,664
19,995,669
19,1026,663
19,1071,682
19,1111,724
19,1075,772
19,1031,790
19,998,794
19,966,792
19,925,776
19,913,728
19,968,695
19,996,694
19,1026,693
19,1093,725
19,1029,758
19,997,761
19,967,759
19,951,627
19,971,633
19,994,639
19,1018,629
19,1043,622
20,790,729
20,807,784
20,836,831
20,877,871
20,929,907
20,998,921
20,1068,908
20,1129,877
20,1185,839
20,1228,794
20,1256,738
20,897,729
20,921,682
20,961,662
20,991,666
20,1021,661
20,1067,679
20,1109,722
20,1072,768
20,1027,782
20,994,785
20,962,783
20,922,769
20,912,727
20,962,692
20,991,691
20,1022,690
20,1092,722
20,1026,749
20,993,751
20,962,749
20,942,619
20,962,627
20,987,635
20,1014,626
20,1042,618
21,788,741
21,809,794
21,840,838
21,886,877
21,935,910
21,996,922
21,1061,910
21,1118,879
21,1172,842
21,1215,796
21,1241,740
21,891,724
21,921,680
21,964,661
21,996,664
21,1027,659
21,1074,674
21,1116,718
21,1079,771
21,1031,792
21,998,795
21,963,794
21,920,775
21,906,722
21,965,686
21,996,685
21,1027,684
21,1102,717
21,1031,765
21,998,768
21,964,767
21,945,619
21,966,625
21,990,632
21,1016,622
21,1042,614
22,780,709
22,798,767
22,827,818
22,871,864
22,925,900
22,989,914
22,1058,902
22,1122,870
22,1182,832
22,1228,787
22,1258,730
22,886,713
22,917,673
22,963,654
22,996,657
22,1028,652
22,1079,666
22,1122,707
22,1083,763
22,1032,786
22,997,790
22,961,789
22,915,770
22,900,713
22,963,679
22,996,679
22,1028,677
22,1106,710
22,1032,758
22,998,762
22,963,760
22,946,614
22,966,621
22,989,628
22,1017,618
22,1045,611
23,776,702
23,794,762
23,825,814
23,872,858
23,928,893
23,994,908
23,1063,895
23,1124,863
23,1178,823
23,1220,775
23,1244,717
23,881,705
23,915,665
23,962,649
23,996,653
23,1030,648
23,1081,661
23,1124,699
23,1086,758
23,1036,780
23,999,784
23,962,782
23,914,762
23,897,704
23,963,673
23,997,674
23,1030,672
23,1107,700
23,1034,753
23,999,756
23,962,753
23,942,609
23,964,618
23,991,627
23,1020,615
23,1049,606
24,774,720
24,793,777
24,826,824
24,875,863
24,933,895
24,1002,906
24,1071,890
24,1133,859
24,1189,823
24,1230,778
24,1253,722
24,880,706
24,910,664
24,958,648
24,994,652
24,1030,646
24,1081,658
24,1121,699
24,1087,751
24,1036,772
24,998,777
24,960,776
24,910,758
24,895,704
24,959,672
24,995,673
24,1031,670
24,1105,699
24,1034,744
24,997,748
24,959,747
24,941,610
24,963,617
24,988,626
24,1016,613
24,1044,604
25,775,715
25,794,770
25,829,816
25,877,856
25,934,889
25,1002,900
25,1070,884
25,1130,852
25,1183,813
25,1225,767
25,1248,712
25,879,698
25,915,659
25,963,644
25,998,648
25,1032,643
25,1085,654
25,1131,687
25,1090,747
25,1038,772
25,1001,776
25,964,775
25,915,755
25,894,698
25,965,666
25,999,667
25,1032,664
25,1115,689
25,1036,746
25,1000,750
25,964,749
25,945,608
25,967,615
25,992,622
25,1020,611
25,1049,602
26,770,712
26,789,766
26,824,814
26,873,854
26,932,890
26,999,903
26,1065,888
26,1123,858
26,1176,821
26,1218,779
26,1242,726
26,875,700
26,913,664
26,964,649
26,999,653
26,1035,647
26,1085,659
26,1131,692
26,1090,746
26,1039,767
26,1002,771
26,964,770
26,913,753
26,891,702
26,965,672
26,1000,673
26,1035,670
26,1113,695
26,1038,742
26,1001,745
26,964,744
26,946,610
26,969,617
26,995,624
26,1023,613
26,1052,605
27,777,707
27,794,765
27,828,814
27,878,853
27,937,888
27,1003,899
27,1070,885
27,1133,854
27,1188,818
27,1232,770
27,1257,712
27,879,701
27,913,663
27,962,648
27,998,650
27,1034,644
27,1086,655
27,1131,688
27,1092,745
27,1041,768
27,1002,773
27,964,772
27,914,753
27,894,700
27,963,671
27,998,671
27,1035,667
27,1114,691
27,1039,743
27,1001,747
27,963,746
27,946,609
27,967,616
27,992,624
27,1019,612
27,1046,602
28,775,713
28,793,769
28,828,817
28,878,857
28,938,889
28,1005,900
28,1075,885
28,1137,856
28,1193,821
28,1235,778
28,1260,722
28,881,700
28,916,664
28,964,647
28,998,651
28,1031,645
28,1083,658
28,1127,692
28,1087,744
28,1037,766
28,1000,771
28,964,769
28,915,752
28,896,698
28,965,674
28,998,674
28,1032,671
28,1111,693
28,1035,740
28,999,744
28,964,742
28,948,611
28,971,617
28,996,624
28,1023,613
28,1051,605
29,773,716
29,791,771
29,827,817
29,878,854
29,938,886
29,1006,896
29,1076,881
29,1138,849
29,1195,813
29,1236,768
29,1258,711
29,883,701
29,917,665
29,963,648
29,998,651
29,1032,646
29,1084,658
29,1128,689
29,1089,743
29,1038,764
29,1001,768
29,964,766
29,917,751
29,899,699
29,964,672
29,998,673
29,1032,670
29,1112,691
29,1036,737
29,1000,741
29,964,740
29,945,610
29,968,617
29,993,626
29,1020,614
29,1049,605
30,778,714
30,796,772
30,829,819
30,879,857
30,934,889
30,999,901
30,1064,887
30,1125,859
30,1182,827
30,1226,784
30,1252,728
30,883,704
30,918,665
30,964,649
30,997,653
30,1030,647
30,1081,659
30,1125,697
30,1084,749
30,1034,769
30,999,774
30,964,772
30,917,755
30,896,703
30,965,673
30,998,673
30,1031,671
30,1111,699
30,1033,745
30,998,749
30,963,748
30,945,611
30,966,619
30,990,627
30,1017,616
30,1046,607
31,776,706
31,794,763
31,829,812
31,879,851
31,938,885
31,1004,896
31,1069,881
31,1126,849
31,1179,813
31,1222,769
31,1247,712
31,883,704
31,917,667
31,964,650
31,998,654
31,1032,647
31,1083,658
31,1127,689
31,1088,748
31,1039,770
31,1003,775
31,966,773
31,918,755
31,899,703
31,965,674
31,999,675
31,1033,671
31,1110,692
31,1037,744
31,1002,748
31,966,747
31,944,611
31,967,617
31,993,625
31,1022,613
31,1050,604
32,784,718
32,801,774
32,835,820
32,882,856
32,935,888
32,1000,900
32,1065,886
32,1123,855
32,1176,821
32,1216,777
32,1240,724
32,889,706
32,919,665
32,966,648
32,998,652
32,1031,646
32,1080,659
32,1120,696
32,1085,748
32,1037,770
32,1001,775
32,966,773
32,920,755
32,903,704
