Frame,X,Y
0,794,718
0,815,774
0,849,820
0,897,854
0,953,881
0,1017,888
0,1081,872
0,1138,841
0,1189,806
0,1224,761
0,1244,707
0,923,714
0,945,665
0,980,643
0,1005,645
0,1027,641
0,1065,659
0,1097,705
0,1067,735
0,1031,747
0,1007,750
0,981,751
0,948,742
0,939,707
0,981,666
0,1005,665
0,1027,664
0,1080,701
0,1029,722
0,1006,725
0,980,725
0,958,600
0,978,605
0,999,609
0,1022,601
0,1047,593
1,801,730
1,822,783
1,855,824
1,904,856
1,959,880
1,1021,885
1,1083,870
1,1138,843
1,1189,812
1,1223,770
1,1243,718
1,920,714
1,941,664
1,976,642
1,1001,645
1,1025,641
1,1065,659
1,1100,707
1,1068,734
1,1030,747
1,1004,750
1,978,749
1,944,740
1,936,708
1,978,667
1,1002,666
1,1026,665
1,1082,702
1,1028,719
1,1003,722
1,977,721
1,957,599
1,977,605
1,998,609
1,1021,601
1,1046,594
2,800,716
2,818,770
2,848,813
2,894,847
2,949,875
2,1011,882
2,1074,869
2,1131,843
2,1183,814
2,1219,773
2,1241,721
2,922,711
2,944,664
2,977,642
2,1001,645
2,1025,641
2,1062,660
2,1096,705
2,1064,732
2,1028,743
2,1003,746
2,979,745
2,948,738
2,937,706
2,978,669
2,1001,668
2,1024,667
2,1080,701
2,1027,717
2,1003,719
2,979,718
2,958,599
2,977,605
2,999,609
2,1021,601
2,1044,594
3,803,715
3,821,769
3,850,814
3,898,848
3,952,874
3,1013,880
3,1074,867
3,1132,842
3,1185,811
3,1222,769
3,1243,717
3,925,711
3,947,663
3,980,641
3,1004,645
3,1028,640
3,1065,659
3,1099,703
3,1067,731
3,1031,742
3,1006,745
3,981,745
3,949,737
3,940,705
3,981,669
3,1005,667
3,1028,666
3,1082,700
3,1030,716
3,1005,719
3,981,718
3,960,599
3,979,604
3,1000,609
3,1023,602
3,1047,596
4,801,713
4,819,769
4,850,814
4,899,848
4,954,871
4,1016,877
4,1079,864
4,1136,839
4,1188,809
4,1223,766
4,1243,714
4,922,706
4,945,662
4,978,641
4,1002,644
4,1024,639
4,1063,658
4,1099,700
4,1065,729
4,1029,739
4,1005,742
4,980,741
4,948,734
4,938,701
4,979,665
4,1002,664
4,1024,663
4,1082,696
4,1028,715
4,1004,718
4,980,716
4,960,596
4,979,602
4,1000,608
4,1022,600
4,1046,593
5,800,712
5,817,767
5,849,811
5,899,843
5,953,870
5,1015,877
5,1078,865
5,1136,839
5,1191,811
5,1230,770
5,1252,717
5,925,710
5,947,664
5,980,642
5,1003,644
5,1025,639
5,1064,658
5,1100,699
5,1067,727
5,1031,738
5,1008,741
5,984,741
5,952,735
5,941,705
5,982,667
5,1004,665
5,1026,663
5,1084,696
5,1029,714
5,1006,717
5,983,717
5,961,598
5,979,603
5,1000,607
5,1022,600
5,1047,594
6,803,727
6,822,781
6,854,823
6,905,854
6,962,875
6,1023,880
6,1083,866
6,1137,841
6,1188,809
6,1222,766
6,1242,714
6,924,709
6,948,663
6,982,642
6,1007,645
6,1033,641
6,1070,659
6,1104,700
6,1071,730
6,1035,741
6,1009,744
6,983,743
6,950,736
6,939,703
6,983,667
6,1008,666
6,1033,665
6,1087,697
6,1034,717
6,1008,720
6,983,720
6,963,597
6,982,602
6,1003,607
6,1025,599
6,1048,592
7,802,721
7,821,775
7,852,818
7,903,849
7,958,872
7,1018,877
7,1079,864
7,1134,840
7,1186,809
7,1220,766
7,1239,712
7,924,707
7,948,660
7,981,638
7,1005,641
7,1029,637
7,1066,656
7,1100,699
7,1067,726
7,1031,735
7,1007,738
7,982,737
7,951,731
7,940,702
7,982,663
7,1006,662
7,1028,662
7,1083,696
7,1030,711
7,1006,713
7,982,712
7,961,595
7,980,600
7,1002,604
7,1025,597
7,1048,591
8,798,713
8,817,768
8,848,811
8,896,843
8,950,868
8,1012,876
8,1073,865
8,1130,843
8,1182,814
8,1219,773
8,1241,720
8,923,705
8,944,657
8,979,636
8,1003,638
8,1028,634
8,1066,653
8,1100,699
8,1067,726
8,1029,737
8,1003,740
8,978,739
8,946,730
8,937,699
8,979,660
8,1003,658
8,1027,658
8,1084,694
8,1029,714
8,1004,716
8,979,715
8,960,593
8,980,598
8,1001,602
8,1024,594
8,1048,589
9,806,718
9,824,770
9,856,814
9,905,843
9,959,867
9,1020,873
9,1081,861
9,1137,837
9,1191,807
9,1227,763
9,1248,709
9,926,703
9,948,653
9,982,630
9,1006,633
9,1030,628
9,1068,649
9,1102,697
9,1069,725
9,1033,735
9,1008,737
9,983,737
9,951,730
9,941,697
9,983,657
9,1007,656
9,1030,655
9,1085,693
9,1032,709
9,1008,710
9,984,710
9,963,589
9,981,595
9,1002,599
9,1024,592
9,1048,585
10,802,718
10,821,770
10,852,812
10,900,843
10,955,867
10,1018,873
10,1081,860
10,1137,835
10,1189,806
10,1226,764
10,1247,712
10,924,704
10,947,654
10,980,631
10,1005,634
10,1027,629
10,1065,649
10,1099,696
10,1066,722
10,1030,734
10,1006,737
10,981,737
10,949,729
10,940,697
10,981,657
10,1005,656
10,1027,655
10,1082,692
10,1028,708
10,1006,711
10,981,710
10,961,590
10,980,595
10,1001,599
10,1024,593
10,1048,586
11,799,711
11,817,765
11,849,809
11,898,842
11,954,865
11,1014,873
11,1074,862
11,1128,840
11,1179,812
11,1216,770
11,1239,716
11,924,704
11,947,654
11,981,631
11,1005,633
11,1027,628
11,1066,649
11,1099,697
11,1068,726
11,1032,736
11,1007,739
11,983,739
11,950,731
11,940,698
11,982,658
11,1005,656
11,1028,656
11,1082,694
11,1030,712
11,1007,713
11,982,714
11,964,587
11,982,593
11,1003,598
11,1025,591
11,1048,584
12,800,718
12,819,772
12,850,815
12,900,846
12,955,869
12,1016,875
12,1076,863
12,1131,840
12,1184,811
12,1221,768
12,1241,714
12,923,706
12,944,657
12,980,634
12,1004,637
12,1027,632
12,1066,651
12,1100,697
12,1069,726
12,1032,737
12,1007,741
12,982,740
12,948,732
12,938,700
12,981,659
12,1005,657
12,1028,656
12,1084,693
12,1030,713
12,1006,716
12,981,716
12,960,591
12,980,596
12,1001,600
12,1024,593
12,1048,586
13,802,717
13,821,771
13,852,814
13,901,846
13,956,871
13,1018,878
13,1079,865
13,1135,839
13,1188,808
13,1225,765
13,1246,714
13,925,707
13,947,658
13,982,635
13,1006,637
13,1030,632
13,1067,652
13,1100,699
13,1068,724
13,1032,737
13,1007,741
13,982,740
13,951,732
13,939,701
13,983,663
13,1007,661
13,1029,660
13,1085,694
13,1031,714
13,1007,717
13,982,717
13,961,592
13,980,598
13,1002,602
13,1025,595
13,1049,588
14,803,726
14,824,779
14,857,822
14,907,851
14,961,874
14,1021,878
14,1081,866
14,1137,841
14,1188,810
14,1222,767
14,1241,713
14,926,710
14,948,659
14,981,637
14,1006,639
14,1031,634
14,1068,654
14,1100,702
14,1069,728
14,1034,738
14,1009,742
14,983,742
14,952,735
14,940,703
14,982,664
14,1007,662
14,1031,661
14,1085,697
14,1033,713
14,1008,717
14,983,716
14,963,595
14,982,599
14,1003,602
14,1024,595
14,1047,589
15,801,715
15,820,769
15,851,813
15,901,844
15,957,869
15,1018,876
15,1078,864
15,1136,840
15,1188,810
15,1223,765
15,1243,709
15,926,705
15,948,657
15,979,637
15,1003,640
15,1026,636
15,1064,655
15,1099,701
15,1066,726
15,1029,735
15,1005,736
15,981,735
15,951,728
15,942,699
15,980,663
15,1003,663
15,1026,662
15,1082,697
15,1028,708
15,1004,710
15,981,708
15,962,592
15,980,598
15,1001,603
15,1025,595
15,1048,589
16,803,723
16,824,776
16,856,817
16,905,848
16,958,871
16,1020,878
16,1080,865
16,1135,840
16,1186,809
16,1221,765
16,1241,713
16,927,707
16,948,661
16,981,639
16,1005,641
16,1029,637
16,1067,655
16,1100,699
16,1070,726
16,1034,737
16,1009,741
16,984,740
16,952,733
16,942,702
16,983,664
16,1006,662
16,1030,661
16,1085,694
16,1032,714
16,1008,716
16,983,716
16,962,594
16,981,600
16,1002,604
16,1025,597
16,1049,589
17,799,713
17,816,768
17,847,812
17,898,845
17,953,871
17,1014,879
17,1074,867
17,1129,843
17,1182,813
17,1220,769
17,1244,715
17,927,709
17,948,660
17,981,638
17,1005,642
17,1029,637
17,1067,656
17,1100,703
17,1068,728
17,1032,738
17,1007,740
17,982,740
17,951,732
17,942,703
17,982,663
17,1006,662
17,1029,662
17,1084,698
17,1030,714
17,1006,716
17,982,715
17,962,594
17,981,599
17,1002,603
17,1026,597
17,1051,591
18,799,726
18,820,779
18,854,821
18,905,851
18,961,874
18,1021,880
18,1081,867
18,1137,840
18,1189,808
18,1224,764
18,1245,712
18,925,709
18,947,659
18,982,636
18,1006,640
18,1030,635
18,1069,655
18,1103,702
18,1070,730
18,1033,741
18,1008,743
18,982,742
18,950,734
18,939,703
18,983,663
18,1007,662
18,1030,661
18,1087,697
18,1032,717
18,1007,720
18,982,718
18,962,596
18,982,600
18,1003,604
18,1026,596
18,1048,590
19,798,720
19,818,775
19,852,818
19,902,850
19,957,874
19,1017,881
19,1076,869
19,1130,844
19,1183,814
19,1220,772
19,1242,719
19,924,710
19,943,663
19,978,640
19,1003,643
19,1028,637
19,1066,656
19,1100,703
19,1069,730
19,1032,742
19,1006,745
19,980,744
19,947,737
19,939,705
19,979,664
19,1004,663
19,1029,662
19,1085,698
19,1031,719
19,1005,722
19,980,721
19,961,597
19,981,603
19,1002,607
19,1025,599
19,1048,592
20,806,729
20,824,780
20,855,821
20,903,850
20,956,873
20,1018,879
20,1080,868
20,1135,842
20,1186,812
20,1220,769
20,1241,717
20,925,709
20,947,661
20,980,640
20,1005,642
20,1029,638
20,1066,657
20,1102,703
20,1068,727
20,1033,737
20,1008,740
20,983,739
20,950,733
20,942,703
20,982,665
20,1006,664
20,1029,663
20,1083,698
20,1031,709
20,1007,711
20,983,710
20,959,595
20,980,602
20,1002,607
20,1026,599
20,1050,592
21,796,718
21,816,771
21,851,814
21,901,846
21,956,872
21,1019,879
21,1082,865
21,1137,836
21,1187,804
21,1223,760
21,1243,705
21,923,710
21,943,663
21,977,642
21,1003,644
21,1028,639
21,1067,657
21,1103,700
21,1070,730
21,1034,743
21,1008,747
21,981,746
21,948,736
21,939,704
21,978,664
21,1004,663
21,1028,662
21,1087,697
21,1032,719
21,1007,722
21,980,722
21,956,594
21,977,600
21,1000,606
21,1025,597
21,1050,588
22,804,725
22,825,779
22,858,821
22,908,850
22,962,872
22,1022,878
22,1082,866
22,1134,841
22,1184,810
22,1218,766
22,1239,712
22,926,710
22,949,662
22,983,640
22,1008,644
22,1032,639
22,1069,658
22,1103,701
22,1072,731
22,1037,742
22,1012,745
22,986,745
22,952,738
22,940,704
22,984,665
22,1008,663
22,1032,662
22,1087,697
22,1035,719
22,1010,723
22,985,722
22,962,596
22,982,601
22,1004,604
22,1027,597
22,1050,591
23,804,721
23,823,774
23,854,817
23,901,849
23,955,873
23,1015,879
23,1077,867
23,1133,844
23,1186,815
23,1224,775
23,1246,723
23,924,708
23,947,660
23,981,639
23,1005,642
23,1029,638
23,1068,656
23,1102,703
23,1069,730
23,1032,740
23,1006,743
23,981,742
23,949,734
23,938,703
23,981,663
23,1005,662
23,1029,662
23,1087,698
23,1031,718
23,1006,721
23,981,720
23,963,596
23,982,601
23,1003,606
23,1025,598
23,1049,592
24,805,718
24,823,771
24,853,816
24,900,848
24,954,873
24,1013,880
24,1075,869
24,1130,846
24,1183,816
24,1220,776
24,1243,724
24,924,710
24,943,663
24,977,641
24,1002,644
24,1025,638
24,1064,657
24,1100,702
24,1067,730
24,1030,741
24,1005,744
24,979,744
24,946,737
24,939,704
24,978,663
24,1002,662
24,1026,660
24,1083,698
24,1029,720
24,1004,722
24,979,722
24,958,594
24,977,601
24,998,606
24,1022,598
24,1046,590
25,803,720
25,822,773
25,853,815
25,902,847
25,955,872
25,1019,879
25,1081,868
25,1138,841
25,1190,811
25,1226,767
25,1247,713
25,929,708
25,949,659
25,981,638
25,1006,641
25,1031,636
25,1068,659
25,1098,704
25,1068,727
25,1033,734
25,1007,736
25,982,736
25,952,730
25,944,703
25,982,666
25,1006,666
25,1031,665
25,1082,699
25,1032,703
25,1007,706
25,982,705
25,960,596
25,981,602
25,1003,606
25,1027,599
25,1051,593
26,800,712
26,818,765
26,847,810
26,895,844
26,950,870
26,1012,879
26,1073,868
26,1128,844
26,1180,813
26,1216,770
26,1239,716
26,924,710
26,945,661
26,978,639
26,1002,641
26,1027,637
26,1065,656
26,1099,702
26,1066,731
26,1029,741
26,1004,745
26,979,745
26,947,737
26,939,705
26,979,664
26,1003,662
26,1027,662
26,1082,699
26,1028,720
26,1004,723
26,979,722
26,960,597
26,979,603
26,1000,607
26,1023,599
26,1047,593
27,803,722
27,824,775
27,858,818
27,908,849
27,961,873
27,1020,879
27,1079,866
27,1133,840
27,1186,810
27,1223,769
27,1247,718
27,924,707
27,946,659
27,981,638
27,1004,641
27,1027,636
27,1066,655
27,1100,698
27,1069,729
27,1032,742
27,1008,746
27,983,746
27,949,735
27,939,700
27,982,660
27,1005,658
27,1027,657
27,1083,694
27,1030,718
27,1007,721
27,982,721
27,961,599
27,981,604
27,1002,608
27,1024,601
27,1048,595
28,799,716
28,819,772
28,853,816
28,904,848
28,957,871
28,1015,878
28,1073,866
28,1126,843
28,1180,815
28,1219,773
28,1244,722
28,924,705
28,946,657
28,980,637
28,1003,640
28,1026,634
28,1063,652
28,1095,696
28,1066,728
28,1031,741
28,1007,744
28,983,744
28,950,734
28,938,698
28,981,661
28,1004,660
28,1027,658
28,1079,691
28,1030,714
28,1006,718
28,982,717
28,959,598
28,978,605
28,999,610
28,1022,601
28,1046,593
29,801,708
29,820,762
29,851,806
29,899,838
29,953,865
29,1015,872
29,1078,861
29,1133,835
29,1187,806
29,1225,763
29,1247,711
29,924,700
29,945,653
29,978,635
29,1004,639
29,1030,632
29,1068,649
29,1098,695
29,1068,727
29,1033,739
29,1006,743
29,978,741
29,947,731
29,938,694
29,979,660
29,1005,660
29,1031,658
29,1082,690
29,1032,710
29,1005,714
29,978,712
29,959,598
29,979,604
29,1001,609
29,1024,601
29,1050,595
30,798,722
30,820,773
30,855,814
30,904,843
30,959,867
30,1018,874
30,1076,861
30,1130,834
30,1183,804
30,1221,762
30,1243,710
30,922,698
30,941,651
30,975,634
30,1001,638
30,1025,632
30,1062,648
30,1091,691
30,1064,724
30,1030,740
30,1004,743
30,977,740
30,946,727
30,936,692
30,976,659
30,1002,660
30,1026,657
30,1076,686
30,1029,712
30,1003,716
30,977,713
30,958,599
30,977,605
30,998,610
30,1020,602
30,1043,595
31,794,707
31,811,760
31,844,804
31,892,837
31,948,863
31,1008,873
31,1069,863
31,1127,836
31,1179,806
31,1217,763
31,1240,711
31,919,700
31,942,654
31,977,634
31,1001,638
31,1023,632
31,1060,648
31,1089,694
31,1063,726
31,1028,742
31,1004,746
31,978,744
31,946,730
31,934,695
31,977,659
31,1002,660
31,1024,658
31,1074,690
31,1027,713
31,1003,717
31,978,714
31,959,599
31,978,604
31,999,609
31,1021,601
31,1045,595
32,808,724
32,829,775
32,864,816
32,912,842
32,964,864
32,1018,870
32,1073,859
32,1127,834
32,1182,806
32,1221,766
32,1247,712
32,928,705
32,952,658
32,985,633
32,1004,637
32,1024,632
32,1060,652
32,1092,699
32,1062,730
32,1029,743
32,1007,745
32,987,745
32,956,734
32,943,699
32,986,658
32,1005,657
32,1025,656
32,1075,696
32,1028,716
32,1007,719
32,987,717
32,965,598
32,984,602
32,1003,607
32,1024,600
32,1047,594
33,808,731
33,831,783
33,867,823
33,916,848
33,969,870
33,1023,874
33,1079,861
33,1135,836
33,1189,808
33,1229,767
33,1253,715
33,928,712
33,951,659
33,985,635
33,1005,637
33,1026,633
33,1063,654
33,1092,704
33,1064,732
33,1031,746
33,1009,749
33,986,749
33,955,740
33,942,704
33,986,658
33,1006,656
33,1027,656
33,1075,699
33,1029,720
33,1007,723
33,986,722
33,964,598
33,982,603
33,1002,607
33,1024,600
33,1047,594
34,801,720
34,822,772
34,855,815
34,903,846
34,956,872
34,1017,880
34,1078,867
34,1134,839
34,1186,807
34,1223,764
34,1246,710
34,919,701
34,938,654
34,973,635
34,999,637
34,1023,632
34,1063,650
34,1097,695
34,1067,733
34,1031,749
34,1004,752
34,977,751
34,942,738
34,931,694
34,975,658
34,1000,658
34,1024,655
34,1081,691
34,1029,721
34,1003,726
34,976,724
34,957,599
34,978,604
34,1000,610
34,1025,601
34,1049,594
35,799,724
35,818,776
35,851,817
35,899,850
35,954,876
35,1016,884
35,1077,872
35,1130,845
35,1182,816
35,1220,775
35,1242,723
35,925,702
35,945,653
35,979,633
35,1005,638
35,1029,632
35,1065,651
35,1097,701
35,1067,732
35,1033,743
35,1007,745
35,980,744
35,947,733
35,940,696
35,980,660
35,1005,659
35,1029,659
35,1079,696
35,1031,708
35,1006,710
35,980,708
35,959,598
35,979,604
35,1002,610
35,1026,602
35,1050,596
36,806,718
36,824,772
36,854,817
36,899,851
36,953,879
36,1014,888
36,1077,877
36,1134,850
36,1187,819
36,1225,777
36,1249,724
36,925,705
36,947,657
36,981,635
36,1005,637
36,1028,633
36,1067,653
36,1104,701
36,1069,734
36,1031,746
36,1006,749
36,980,748
36,948,737
36,939,700
36,982,662
36,1006,661
36,1029,661
36,1086,698
36,1030,711
36,1005,714
36,981,713
36,962,597
36,981,605
36,1002,612
36,1026,603
36,1051,595
37,803,732
37,825,785
37,858,827
37,905,859
37,958,888
37,1017,896
37,1077,886
37,1131,859
37,1182,830
37,1220,788
37,1245,736
37,924,712
37,946,660
37,983,637
37,1007,640
37,1032,635
37,1073,657
37,1105,706
37,1075,742
37,1036,757
37,1009,760
37,983,759
37,948,746
37,939,707
37,984,666
37,1008,665
37,1032,665
37,1088,704
37,1034,723
37,1009,726
37,984,725
37,964,600
37,983,606
37,1006,612
37,1030,604
37,1054,596
38,804,727
38,825,781
38,858,828
38,906,865
38,961,894
38,1023,903
38,1085,889
38,1139,859
38,1189,825
38,1226,780
38,1248,723
38,925,716
38,946,663
38,983,639
38,1009,642
38,1036,638
38,1076,659
38,1109,709
38,1078,744
38,1040,760
38,1012,763
38,983,763
38,947,751
38,940,712
38,984,668
38,1010,667
38,1036,666
38,1091,707
38,1038,725
38,1011,729
38,983,728
38,965,600
38,985,606
38,1008,612
38,1033,604
38,1057,597
39,799,725
39,819,778
39,851,826
39,896,865
39,952,898
39,1015,909
39,1077,896
39,1133,866
39,1184,832
39,1223,787
39,1246,731
39,921,717
39,944,665
39,981,642
39,1008,646
39,1034,641
39,1076,660
39,1110,709
39,1079,750
39,1038,768
39,1010,771
39,981,771
39,945,759
39,935,713
39,982,669
39,1008,668
39,1035,667
39,1094,707
39,1037,736
39,1009,740
39,982,739
39,963,600
39,983,607
39,1005,613
39,1030,605
39,1055,598
40,806,735
40,827,789
40,859,834
40,906,869
40,959,899
40,1019,907
40,1081,894
40,1136,864
40,1186,831
40,1225,787
40,1249,731
40,922,717
40,944,664
40,982,641
40,1009,644
40,1035,640
40,1077,661
40,1109,711
40,1077,749
40,1037,767
40,1008,770
40,980,770
40,944,757
40,936,712
40,983,668
40,1009,667
40,1035,667
40,1092,709
40,1036,735
40,1009,739
40,981,738
40,964,601
40,984,607
40,1007,613
40,1031,605
40,1056,599
41,801,737
41,824,788
41,857,830
41,902,863
41,956,892
41,1015,902
41,1074,890
41,1128,862
41,1180,830
41,1219,787
41,1243,733
41,921,717
41,943,664
41,979,640
41,1005,644
41,1031,638
41,1071,659
41,1105,708
41,1073,745
41,1036,759
41,1008,763
41,981,763
41,945,753
41,937,712
41,980,668
41,1006,667
41,1031,666
41,1087,707
41,1034,724
41,1007,727
41,981,727
41,963,603
41,983,609
41,1004,615
41,1028,607
41,1052,601
42,801,717
42,820,771
42,851,817
42,898,853
42,952,884
42,1013,895
42,1075,881
42,1130,853
42,1184,821
42,1223,779
42,1246,726
42,919,707
42,944,662
42,981,641
42,1006,644
42,1030,641
42,1072,658
42,1110,700
42,1076,742
42,1036,759
42,1009,763
42,982,762
42,945,747
42,935,703
42,982,663
42,1007,663
42,1031,662
42,1092,699
42,1034,733
42,1008,736
42,982,735
42,960,601
42,980,609
42,1003,617
42,1028,608
42,1055,600
43,804,731
43,827,783
43,861,826
43,909,858
43,961,882
43,1020,889
