Frame,X,Y
0,845,745
0,868,796
0,903,837
0,954,867
0,1009,894
0,1071,899
0,1134,885
0,1190,855
0,1239,822
0,1272,775
0,1291,721
0,966,729
0,991,687
0,1025,667
0,1049,672
0,1075,667
0,1114,684
0,1151,724
0,1117,749
0,1080,759
0,1053,762
0,1027,761
0,993,753
0,982,724
0,1026,692
0,1050,691
0,1076,690
0,1132,720
0,1078,730
0,1051,733
0,1026,732
0,1002,625
0,1024,632
0,1046,638
0,1071,628
0,1095,621
1,844,739
1,865,794
1,900,838
1,951,869
1,1008,894
1,1071,900
1,1131,887
1,1186,860
1,1236,829
1,1270,784
1,1290,731
1,969,733
1,996,687
1,1031,667
1,1053,671
1,1078,667
1,1117,684
1,1151,725
1,1119,751
1,1083,759
1,1057,761
1,1034,761
1,999,755
1,986,728
1,1032,694
1,1054,692
1,1078,691
1,1132,722
1,1081,730
1,1056,732
1,1033,732
1,1007,624
1,1029,631
1,1052,637
1,1075,628
1,1098,621
2,843,732
2,860,788
2,894,834
2,945,869
2,1004,896
2,1068,902
2,1130,890
2,1187,861
2,1238,827
2,1272,782
2,1291,726
2,968,733
2,995,689
2,1029,670
2,1052,674
2,1078,669
2,1115,685
2,1150,725
2,1118,748
2,1083,757
2,1057,761
2,1032,761
2,998,755
2,984,728
2,1030,694
2,1053,693
2,1079,693
2,1131,722
2,1081,730
2,1055,733
2,1031,733
2,1008,624
2,1029,630
2,1051,635
2,1074,627
2,1097,621
3,850,748
3,871,800
3,904,841
3,954,873
3,1011,898
3,1074,902
3,1134,888
3,1188,859
3,1237,827
3,1271,783
3,1291,730
3,970,731
3,996,686
3,1029,667
3,1053,671
3,1080,667
3,1116,686
3,1149,725
3,1117,749
3,1082,758
3,1054,761
3,1028,760
3,996,754
3,986,727
3,1030,692
3,1054,692
3,1080,691
3,1131,723
3,1081,729
3,1054,732
3,1029,732
3,1007,625
3,1028,632
3,1051,637
3,1075,629
3,1098,622
4,848,749
4,869,801
4,902,843
4,952,875
4,1007,900
4,1067,906
4,1125,893
4,1180,865
4,1232,831
4,1268,788
4,1290,734
4,968,733
4,992,687
4,1025,666
4,1048,670
4,1075,667
4,1114,686
4,1149,727
4,1115,750
4,1077,759
4,1050,760
4,1026,759
4,994,754
4,985,728
4,1026,694
4,1049,693
4,1075,693
4,1131,723
4,1076,729
4,1049,731
4,1026,731
4,1007,626
4,1027,632
4,1048,637
4,1071,629
4,1093,622
5,848,741
5,870,795
5,901,839
5,950,874
5,1004,901
5,1065,910
5,1125,897
5,1179,869
5,1228,833
5,1261,787
5,1283,732
5,967,733
5,992,689
5,1025,671
5,1049,675
5,1075,672
5,1113,691
5,1148,730
5,1115,761
5,1078,774
5,1051,776
5,1026,774
5,993,763
5,983,728
5,1026,693
5,1049,693
5,1075,693
5,1131,726
5,1076,748
5,1050,751
5,1026,748
5,1004,625
5,1025,633
5,1048,639
5,1072,631
5,1094,623
6,845,748
6,867,800
6,902,843
6,951,879
6,1005,908
6,1065,916
6,1124,903
6,1180,873
6,1232,838
6,1269,791
6,1289,736
6,965,738
6,990,692
6,1024,672
6,1047,677
6,1072,673
6,1111,694
6,1145,734
6,1112,770
6,1075,784
6,1049,787
6,1023,785
6,991,772
6,981,733
6,1025,697
6,1048,697
6,1073,698
6,1127,731
6,1074,753
6,1048,756
6,1023,754
6,1007,628
6,1027,634
6,1048,639
6,1069,631
6,1090,623
7,851,747
7,875,801
7,910,845
7,958,882
7,1010,911
7,1067,917
7,1125,903
7,1180,871
7,1233,834
7,1271,787
7,1294,732
7,971,741
7,996,690
7,1028,670
7,1050,674
7,1076,671
7,1113,695
7,1142,739
7,1114,776
7,1078,791
7,1050,794
7,1026,791
7,994,776
7,989,734
7,1029,697
