Frame,X,Y
0,795,719
0,812,774
0,842,824
0,887,864
0,944,895
0,1012,901
0,1079,886
0,1140,854
0,1194,817
0,1234,772
0,1258,717
0,916,728
0,938,681
0,973,657
0,996,661
0,1019,656
0,1057,677
0,1094,720
0,1059,748
0,1022,759
0,998,762
0,973,762
0,941,754
0,934,722
0,974,686
0,997,684
0,1019,683
0,1073,717
0,1021,723
0,997,726
0,973,726
0,951,614
0,971,619
0,994,625
0,1019,616
0,1045,609
1,794,716
1,812,773
1,842,824
1,887,864
1,944,894
1,1012,900
1,1079,885
1,1140,854
1,1194,820
1,1235,777
1,1260,724
1,916,725
1,938,680
1,973,657
1,996,660
1,1019,655
1,1057,676
1,1094,719
1,1059,745
1,1022,755
1,998,759
1,973,758
1,941,750
1,933,719
1,974,686
1,997,684
1,1019,683
1,1075,715
1,1021,720
1,997,723
1,974,723
1,952,614
1,972,619
1,995,626
1,1020,617
1,1047,610
2,793,720
2,811,776
2,841,823
2,888,860
2,945,889
2,1010,895
2,1074,882
2,1134,852
2,1186,817
2,1224,772
2,1249,719
2,918,723
2,941,676
2,973,653
2,997,656
2,1019,651
2,1057,671
2,1092,716
2,1058,741
2,1023,751
2,999,754
2,975,754
2,943,747
2,935,717
2,975,683
2,998,681
2,1020,681
2,1073,712
2,1021,716
2,998,719
2,975,719
2,952,610
2,972,616
2,994,621
2,1017,613
2,1042,606
3,786,717
3,805,773
3,836,820
3,882,858
3,939,886
3,999,894
3,1062,881
3,1122,854
3,1177,822
3,1217,779
3,1239,725
3,908,708
3,937,667
3,975,646
3,998,650
3,1020,645
3,1059,668
3,1094,709
3,1058,739
3,1021,750
3,997,751
3,973,751
3,936,740
3,924,703
3,975,673
3,998,672
3,1020,672
3,1076,706
3,1022,713
3,999,716
3,974,715
3,958,603
3,978,606
3,1000,610
3,1025,606
3,1050,602
4,789,715
4,806,768
4,836,813
4,882,850
4,937,879
4,1003,887
4,1070,875
4,1130,846
4,1182,813
4,1219,769
4,1240,715
4,911,709
4,934,663
4,968,638
4,993,641
4,1017,635
4,1056,656
4,1093,702
4,1059,729
4,1021,741
4,996,744
4,969,744
4,936,735
4,927,704
4,970,667
4,995,665
4,1018,664
4,1075,699
4,1019,707
4,995,710
4,969,710
4,949,595
4,969,600
4,991,604
4,1015,596
4,1041,589
5,791,718
5,809,771
5,838,815
5,886,849
5,942,875
5,1006,881
5,1071,869
5,1130,842
5,1183,808
5,1216,762
5,1234,707
5,914,707
5,935,656
5,968,632
5,993,636
5,1017,631
5,1055,652
5,1086,701
5,1055,726
5,1018,735
5,993,737
5,968,737
5,937,731
5,931,701
5,969,663
5,993,662
5,1017,663
5,1069,697
5,1017,700
5,993,702
5,968,701
5,950,589
5,969,594
5,991,598
5,1014,591
5,1038,585
6,797,710
6,815,763
6,843,808
6,888,843
6,942,870
6,1005,877
6,1069,865
6,1127,838
6,1180,806
6,1217,762
6,1239,709
6,918,701
6,938,650
6,971,625
6,995,628
6,1019,623
6,1057,645
6,1088,695
6,1058,721
6,1023,731
6,997,734
6,972,733
6,941,726
6,935,695
6,973,657
6,996,655
6,1019,655
6,1069,691
6,1021,695
6,997,697
6,973,697
6,954,585
6,972,590
6,993,593
6,1014,586
6,1037,579
7,791,704
7,810,758
7,841,804
7,889,839
7,945,867
7,1007,874
7,1070,861
7,1128,833
7,1183,799
7,1222,755
7,1245,701
7,918,697
7,938,645
7,971,619
7,994,622
7,1017,617
7,1055,640
7,1085,691
7,1055,718
7,1020,728
7,995,730
7,970,730
7,940,722
7,935,691
7,972,651
7,995,649
7,1017,649
7,1067,686
7,1018,692
7,995,694
7,971,693
7,951,577
7,969,583
7,991,587
7,1014,580
7,1038,573
8,786,698
8,803,750
