Frame,X,Y
0,643,742
0,662,804
0,700,853
0,754,892
0,817,919
0,888,926
0,957,921
0,1017,895
0,1067,856
0,1097,805
0,1113,747
0,804,760
0,838,744
0,872,735
0,894,741
0,916,736
0,948,748
0,983,767
0,948,781
0,916,783
0,893,783
0,870,782
0,837,777
0,819,762
0,870,759
0,893,761
0,916,760
0,969,767
0,916,758
0,894,759
0,871,756
0,849,672
0,872,679
0,894,685
0,915,681
0,936,676
1,644,749
1,663,809
1,701,858
1,755,894
1,817,920
1,885,928
1,951,924
1,1012,898
1,1062,860
1,1094,809
1,1110,751
1,804,759
1,838,745
1,871,735
1,894,741
1,916,736
1,947,749
1,981,767
1,946,781
1,914,785
1,891,786
1,867,784
1,836,777
1,819,761
1,869,758
1,893,761
1,915,760
1,966,767
1,915,759
1,893,761
1,869,757
1,850,674
1,871,680
1,894,686
1,914,682
1,936,677
2,642,750
2,664,807
2,702,852
2,757,886
2,819,911
2,885,921
2,951,918
2,1010,893
2,1059,856
2,1091,808
2,1108,751
2,804,758
2,839,744
2,871,733
2,894,740
2,915,734
2,947,748
2,982,767
2,948,780
2,917,782
2,894,783
2,870,781
2,839,775
2,820,760
2,870,757
2,893,760
2,915,759
2,968,766
2,916,756
2,894,757
2,872,754
2,849,673
2,871,679
2,893,684
2,913,681
2,934,678
3,643,744
3,662,804
3,699,853
3,753,892
3,816,920
3,884,928
3,952,924
3,1011,899
3,1060,861
3,1092,812
3,1108,755
3,800,756
3,837,742
3,871,732
3,894,739
3,915,734
3,947,747
3,983,765
3,948,780
3,915,781
3,892,781
3,868,779
3,835,774
3,816,759
3,869,757
3,893,760
3,914,759
3,968,765
3,915,757
3,893,756
3,870,753
3,849,671
3,870,678
3,893,684
3,914,681
3,935,676
4,643,747
4,663,806
4,701,853
4,755,890
4,817,917
4,887,925
4,955,921
4,1015,897
4,1065,858
4,1095,808
4,1111,749
4,801,757
4,838,742
4,871,732
4,894,738
4,917,734
4,949,747
4,984,763
4,950,778
4,917,780
4,893,780
4,869,778
4,836,773
4,817,759
4,870,756
4,893,759
4,916,758
4,970,763
4,917,755
4,894,756
4,871,752
4,849,669
4,871,676
4,894,683
4,914,678
4,935,673
5,643,748
5,661,807
5,697,855
5,753,891
5,817,915
5,888,924
5,956,921
5,1016,895
5,1064,858
5,1095,810
5,1110,753
5,802,757
5,836,741
5,869,731
5,892,738
5,914,733
5,946,746
5,982,766
5,947,781
5,915,783
5,891,782
5,867,780
5,835,774
5,818,759
5,868,756
5,891,759
5,913,758
5,967,765
5,914,757
5,892,757
5,869,753
5,849,670
5,870,678
5,892,683
5,912,680
5,933,676
6,641,739
6,660,800
6,697,849
6,752,888
6,817,915
6,889,923
6,959,918
6,1019,892
6,1067,853
6,1097,801
6,1112,742
6,802,757
6,838,742
6,870,731
6,893,738
6,915,733
6,946,747
6,980,766
6,946,780
6,915,780
6,892,780
6,868,777
6,836,773
6,819,759
6,869,756
6,893,758
6,915,758
6,966,765
6,915,754
6,893,755
6,870,751
6,850,671
6,871,678
6,893,684
6,913,680
6,934,677
7,643,744
7,663,804
7,702,852
7,757,888
7,819,915
7,886,924
7,952,920
7,1013,895
7,1064,858
7,1095,807
7,1111,748
7,803,756
7,839,741
7,871,731
7,893,737
7,915,733
7,947,747
7,981,767
7,946,780
7,915,782
7,892,782
7,868,780
7,837,775
7,820,758
7,869,754
7,893,757
7,915,757
7,966,766
7,915,756
7,893,756
7,870,753
7,848,671
7,870,677
7,892,683
7,913,679
7,935,676
8,644,746
8,663,805
8,699,854
8,754,891
8,817,917
8,888,924
8,958,920
8,1019,894
8,1067,855
8,1096,805
8,1111,746
8,803,757
8,839,741
8,872,730
8,893,737
8,914,732
8,948,746
8,984,766
8,949,780
8,916,781
8,894,781
8,871,779
8,838,774
8,819,758
8,871,754
8,893,757
8,915,756
8,969,766
8,916,757
8,894,758
8,872,755
8,849,668
8,871,676
8,894,682
8,915,678
8,936,673
9,642,745
9,660,803
9,695,852
9,748,888
9,811,915
9,882,925
9,950,922
9,1011,899
9,1061,863
9,1093,812
9,1110,755
9,800,757
9,836,741
9,869,731
9,891,738
9,913,733
9,944,747
9,979,766
9,945,779
9,914,781
9,891,781
9,867,779
9,835,773
9,818,759
9,867,754
9,890,757
9,912,757
9,964,765
9,914,755
9,891,755
9,869,751
9,848,671
9,870,677
9,891,682
9,912,679
9,933,677
10,644,748
10,663,806
10,701,855
10,756,891
10,819,917
10,888,925
10,956,919
10,1016,894
10,1065,857
10,1094,808
10,1109,751
10,802,757
10,835,740
10,868,729
10,892,736
10,914,731
10,945,745
10,978,765
10,945,777
10,914,780
10,891,780
10,866,778
10,835,772
10,818,758
10,867,754
10,891,756
10,913,756
10,963,765
10,914,754
10,891,755
10,868,751
10,847,668
10,869,676
10,893,682
10,914,678
10,935,674
11,644,747
11,662,807
11,698,855
11,752,892
11,815,915
11,883,921
11,951,916
11,1011,893
11,1061,858
11,1092,811
11,1109,754
11,803,757
11,837,739
11,869,728
11,891,734
11,910,729
11,941,744
11,973,765
11,940,777
11,910,780
11,889,780
11,867,779
11,836,773
11,820,757
11,868,753
11,890,755
11,910,755
11,958,764
11,910,753
11,890,754
11,868,751
11,850,668
11,871,676
11,892,681
11,912,678
11,933,674
12,644,745
12,665,805
12,704,854
12,758,891
12,822,916
12,891,922
12,957,918
12,1017,893
12,1066,855
12,1097,804
12,1112,745
12,804,755
12,838,739
12,870,729
12,893,735
12,914,730
12,947,743
12,983,763
12,949,776
12,916,777
12,894,777
12,870,775
12,838,771
12,821,756
12,870,753
12,892,755
12,914,755
12,967,763
12,915,752
12,894,753
12,871,749
12,850,666
12,871,672
12,893,678
12,914,674
12,935,670
13,641,747
13,661,806
13,699,855
13,753,892
13,817,918
13,887,924
13,955,918
13,1015,892
13,1064,854
13,1094,804
13,1110,746
13,802,754
13,836,737
13,870,726
13,892,733
13,914,728
13,946,742
13,980,762
13,946,775
13,915,777
13,892,777
13,868,775
13,836,770
13,818,755
13,869,751
13,892,754
13,914,753
13,964,762
13,914,752
13,892,752
13,869,749
13,847,666
13,870,674
13,893,680
13,914,677
13,936,672
14,643,749
14,664,808
14,703,856
14,759,891
14,823,916
14,892,922
14,959,915
14,1018,889
14,1067,852
14,1096,803
14,1110,745
14,804,754
14,838,738
14,870,727
14,893,733
14,914,729
14,944,742
14,977,762
14,945,775
14,915,777
14,893,777
14,869,775
14,838,770
14,821,755
14,870,750
14,892,753
14,914,753
14,962,762
14,914,751
14,893,751
14,871,748
14,848,665
14,871,673
14,893,679
14,914,676
14,935,671
15,642,745
15,661,805
15,698,853
15,751,889
15,816,912
15,886,920
15,955,917
15,1016,893
15,1065,855
15,1095,803
15,1110,745
15,802,754
15,836,736
15,869,726
15,893,732
15,915,728
15,946,741
